action	status	kind	source	destination	bytes	reason
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M00-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M00-Y2022-20378618	6490703	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M00-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M00-Y2023-20378618	6484832	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M01-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M01-Y2022-20378618	6490642	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M01-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M01-Y2023-20378618	6484771	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M02-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M02-Y2022-20378618	6490703	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M02-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M02-Y2023-20378618	6484834	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M03-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M03-Y2022-20378618	6490702	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M03-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M03-Y2023-20378618	6484829	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M04-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M04-Y2022-20378618	6490704	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M04-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M04-Y2023-20378618	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M05-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M05-Y2022-20378618	6490702	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M05-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M05-Y2023-20378618	6484833	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M06-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M06-Y2022-20378618	6490704	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M06-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M06-Y2023-20378618	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M07-Y2022-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M07-Y2022-20378618	6490707	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S2-10K-M07-Y2023-20378618	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S2-10K-M07-Y2023-20378618	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M00-Y2021-20356086	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M00-Y2021-20356086	6434883	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M00-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M00-Y2021-20378614	6435856	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M00-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M00-Y2022-20378629	6490707	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M00-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M00-Y2023-20378629	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M01-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M01-Y2021-20378614	6435866	out-of-scope-t5
